Variable0	Variable	Type
V1	tBodyAcc-mean()-X	mean
V2	tBodyAcc-mean()-Y	mean
V3	tBodyAcc-mean()-Z	mean
V4	tBodyAcc-std()-X	std
V5	tBodyAcc-std()-Y	std
V6	tBodyAcc-std()-Z	std
V7	tBodyAcc-mad()-X	mad
V8	tBodyAcc-mad()-Y	mad
V9	tBodyAcc-mad()-Z	mad
V10	tBodyAcc-max()-X	max
V11	tBodyAcc-max()-Y	max
V12	tBodyAcc-max()-Z	max
V13	tBodyAcc-min()-X	min
V14	tBodyAcc-min()-Y	min
V15	tBodyAcc-min()-Z	min
V16	tBodyAcc-sma()	sma
V17	tBodyAcc-energy()-X	energy
V18	tBodyAcc-energy()-Y	energy
V19	tBodyAcc-energy()-Z	energy
V20	tBodyAcc-iqr()-X	iqr
V21	tBodyAcc-iqr()-Y	iqr
V22	tBodyAcc-iqr()-Z	iqr
V23	tBodyAcc-entropy()-X	entropy
V24	tBodyAcc-entropy()-Y	entropy
V25	tBodyAcc-entropy()-Z	entropy
V26	tBodyAcc-arCoeff()-X,1	arCoeff
V27	tBodyAcc-arCoeff()-X,2	arCoeff
V28	tBodyAcc-arCoeff()-X,3	arCoeff
V29	tBodyAcc-arCoeff()-X,4	arCoeff
V30	tBodyAcc-arCoeff()-Y,1	arCoeff
V31	tBodyAcc-arCoeff()-Y,2	arCoeff
V32	tBodyAcc-arCoeff()-Y,3	arCoeff
V33	tBodyAcc-arCoeff()-Y,4	arCoeff
V34	tBodyAcc-arCoeff()-Z,1	arCoeff
V35	tBodyAcc-arCoeff()-Z,2	arCoeff
V36	tBodyAcc-arCoeff()-Z,3	arCoeff
V37	tBodyAcc-arCoeff()-Z,4	arCoeff
V38	tBodyAcc-correlation()-X,Y	correlation
V39	tBodyAcc-correlation()-X,Z	correlation
V40	tBodyAcc-correlation()-Y,Z	correlation
V41	tGravityAcc-mean()-X	mean
V42	tGravityAcc-mean()-Y	mean
V43	tGravityAcc-mean()-Z	mean
V44	tGravityAcc-std()-X	std
V45	tGravityAcc-std()-Y	std
V46	tGravityAcc-std()-Z	std
V47	tGravityAcc-mad()-X	mad
V48	tGravityAcc-mad()-Y	mad
V49	tGravityAcc-mad()-Z	mad
V50	tGravityAcc-max()-X	max
V51	tGravityAcc-max()-Y	max
V52	tGravityAcc-max()-Z	max
V53	tGravityAcc-min()-X	min
V54	tGravityAcc-min()-Y	min
V55	tGravityAcc-min()-Z	min
V56	tGravityAcc-sma()	sma
V57	tGravityAcc-energy()-X	energy
V58	tGravityAcc-energy()-Y	energy
V59	tGravityAcc-energy()-Z	energy
V60	tGravityAcc-iqr()-X	iqr
V61	tGravityAcc-iqr()-Y	iqr
V62	tGravityAcc-iqr()-Z	iqr
V63	tGravityAcc-entropy()-X	entropy
V64	tGravityAcc-entropy()-Y	entropy
V65	tGravityAcc-entropy()-Z	entropy
V66	tGravityAcc-arCoeff()-X,1	arCoeff
V67	tGravityAcc-arCoeff()-X,2	arCoeff
V68	tGravityAcc-arCoeff()-X,3	arCoeff
V69	tGravityAcc-arCoeff()-X,4	arCoeff
V70	tGravityAcc-arCoeff()-Y,1	arCoeff
V71	tGravityAcc-arCoeff()-Y,2	arCoeff
V72	tGravityAcc-arCoeff()-Y,3	arCoeff
V73	tGravityAcc-arCoeff()-Y,4	arCoeff
V74	tGravityAcc-arCoeff()-Z,1	arCoeff
V75	tGravityAcc-arCoeff()-Z,2	arCoeff
V76	tGravityAcc-arCoeff()-Z,3	arCoeff
V77	tGravityAcc-arCoeff()-Z,4	arCoeff
V78	tGravityAcc-correlation()-X,Y	correlation
V79	tGravityAcc-correlation()-X,Z	correlation
V80	tGravityAcc-correlation()-Y,Z	correlation
V81	tBodyAccJerk-mean()-X	mean
V82	tBodyAccJerk-mean()-Y	mean
V83	tBodyAccJerk-mean()-Z	mean
V84	tBodyAccJerk-std()-X	std
V85	tBodyAccJerk-std()-Y	std
V86	tBodyAccJerk-std()-Z	std
V87	tBodyAccJerk-mad()-X	mad
V88	tBodyAccJerk-mad()-Y	mad
V89	tBodyAccJerk-mad()-Z	mad
V90	tBodyAccJerk-max()-X	max
V91	tBodyAccJerk-max()-Y	max
V92	tBodyAccJerk-max()-Z	max
V93	tBodyAccJerk-min()-X	min
V94	tBodyAccJerk-min()-Y	min
V95	tBodyAccJerk-min()-Z	min
V96	tBodyAccJerk-sma()	sma
V97	tBodyAccJerk-energy()-X	energy
V98	tBodyAccJerk-energy()-Y	energy
V99	tBodyAccJerk-energy()-Z	energy
V100	tBodyAccJerk-iqr()-X	iqr
V101	tBodyAccJerk-iqr()-Y	iqr
V102	tBodyAccJerk-iqr()-Z	iqr
V103	tBodyAccJerk-entropy()-X	entropy
V104	tBodyAccJerk-entropy()-Y	entropy
V105	tBodyAccJerk-entropy()-Z	entropy
V106	tBodyAccJerk-arCoeff()-X,1	arCoeff
V107	tBodyAccJerk-arCoeff()-X,2	arCoeff
V108	tBodyAccJerk-arCoeff()-X,3	arCoeff
V109	tBodyAccJerk-arCoeff()-X,4	arCoeff
V110	tBodyAccJerk-arCoeff()-Y,1	arCoeff
V111	tBodyAccJerk-arCoeff()-Y,2	arCoeff
V112	tBodyAccJerk-arCoeff()-Y,3	arCoeff
V113	tBodyAccJerk-arCoeff()-Y,4	arCoeff
V114	tBodyAccJerk-arCoeff()-Z,1	arCoeff
V115	tBodyAccJerk-arCoeff()-Z,2	arCoeff
V116	tBodyAccJerk-arCoeff()-Z,3	arCoeff
V117	tBodyAccJerk-arCoeff()-Z,4	arCoeff
V118	tBodyAccJerk-correlation()-X,Y	correlation
V119	tBodyAccJerk-correlation()-X,Z	correlation
V120	tBodyAccJerk-correlation()-Y,Z	correlation
V121	tBodyGyro-mean()-X	mean
V122	tBodyGyro-mean()-Y	mean
V123	tBodyGyro-mean()-Z	mean
V124	tBodyGyro-std()-X	std
V125	tBodyGyro-std()-Y	std
V126	tBodyGyro-std()-Z	std
V127	tBodyGyro-mad()-X	mad
V128	tBodyGyro-mad()-Y	mad
V129	tBodyGyro-mad()-Z	mad
V130	tBodyGyro-max()-X	max
V131	tBodyGyro-max()-Y	max
